measurement_id,row,col,aod_055,tile_id,aod_datetime
14288,206,535,-28672.0,h27v07,2023-08-12 06:20:00+00:00
14289,206,535,-28672.0,h27v07,2023-08-12 06:20:00+00:00
20064,137,437,-28672.0,h27v07,2023-08-12 06:20:00+00:00
20065,137,437,-28672.0,h27v07,2023-08-12 06:20:00+00:00
25762,140,450,-28672.0,h27v07,2023-08-12 06:20:00+00:00
25763,140,450,-28672.0,h27v07,2023-08-12 06:20:00+00:00
31498,127,432,-28672.0,h27v07,2023-08-12 06:20:00+00:00
31499,127,432,-28672.0,h27v07,2023-08-12 06:20:00+00:00
36891,72,397,-28672.0,h27v07,2023-08-12 06:20:00+00:00
36892,72,397,-28672.0,h27v07,2023-08-12 06:20:00+00:00
40655,124,425,-28672.0,h27v07,2023-08-12 06:20:00+00:00
40656,124,425,-28672.0,h27v07,2023-08-12 06:20:00+00:00
46462,137,437,-28672.0,h27v07,2023-08-12 06:20:00+00:00
46463,137,437,-28672.0,h27v07,2023-08-12 06:20:00+00:00
120923,206,538,-28672.0,h27v07,2023-08-12 06:20:00+00:00
138626,145,445,-28672.0,h27v07,2023-08-12 06:20:00+00:00
164083,83,295,-28672.0,h27v07,2023-08-12 06:20:00+00:00
181364,171,466,-28672.0,h27v07,2023-08-12 06:20:00+00:00
198395,139,440,-28672.0,h27v07,2023-08-12 06:20:00+00:00
116586,206,538,-28672.0,h27v07,2022-08-27 08:05:00+00:00
116587,206,538,-28672.0,h27v07,2022-08-27 08:05:00+00:00
134303,145,445,-28672.0,h27v07,2022-08-27 08:05:00+00:00
134304,145,445,-28672.0,h27v07,2022-08-27 08:05:00+00:00
159740,83,295,-28672.0,h27v07,2022-08-27 08:05:00+00:00
159741,83,295,-28672.0,h27v07,2022-08-27 08:05:00+00:00
177114,171,466,-28672.0,h27v07,2022-08-27 08:05:00+00:00
177115,171,466,-28672.0,h27v07,2022-08-27 08:05:00+00:00
194100,139,440,-28672.0,h27v07,2022-08-27 08:05:00+00:00
194101,139,440,-28672.0,h27v07,2022-08-27 08:05:00+00:00
108791,206,538,-28672.0,h27v07,2021-07-19 04:15:00+00:00
108792,206,538,-28672.0,h27v07,2021-07-19 04:15:00+00:00
126434,145,445,-28672.0,h27v07,2021-07-19 04:15:00+00:00
126435,145,445,-28672.0,h27v07,2021-07-19 04:15:00+00:00
151841,83,295,-28672.0,h27v07,2021-07-19 04:15:00+00:00
151842,83,295,-28672.0,h27v07,2021-07-19 04:15:00+00:00
169510,171,466,-28672.0,h27v07,2021-07-19 04:15:00+00:00
169511,171,466,-28672.0,h27v07,2021-07-19 04:15:00+00:00
186768,139,440,-28672.0,h27v07,2021-07-19 04:15:00+00:00
186769,139,440,-28672.0,h27v07,2021-07-19 04:15:00+00:00
117679,206,538,-28672.0,h27v07,2022-09-08 04:05:00+00:00
117680,206,538,-28672.0,h27v07,2022-09-08 04:05:00+00:00
135398,145,445,-28672.0,h27v07,2022-09-08 04:05:00+00:00
135399,145,445,-28672.0,h27v07,2022-09-08 04:05:00+00:00
160836,83,295,-28672.0,h27v07,2022-09-08 04:05:00+00:00
160837,83,295,-28672.0,h27v07,2022-09-08 04:05:00+00:00
178189,171,466,-28672.0,h27v07,2022-09-08 04:05:00+00:00
178190,171,466,-28672.0,h27v07,2022-09-08 04:05:00+00:00
195163,139,440,-28672.0,h27v07,2022-09-08 04:05:00+00:00
195164,139,440,-28672.0,h27v07,2022-09-08 04:05:00+00:00
1659,75,344,-28672.0,h27v07,2023-12-15 07:55:00+00:00
1660,75,344,-28672.0,h27v07,2023-12-15 07:55:00+00:00
7426,137,437,-28672.0,h27v07,2023-12-15 07:55:00+00:00
7427,137,437,-28672.0,h27v07,2023-12-15 07:55:00+00:00
13231,206,535,-28672.0,h27v07,2023-12-15 07:55:00+00:00
13232,206,535,-28672.0,h27v07,2023-12-15 07:55:00+00:00
19005,137,437,-28672.0,h27v07,2023-12-15 07:55:00+00:00
19006,137,437,-28672.0,h27v07,2023-12-15 07:55:00+00:00
24798,140,450,-28672.0,h27v07,2023-12-15 07:55:00+00:00
24799,140,450,-28672.0,h27v07,2023-12-15 07:55:00+00:00
